,0,1,2,3,4,5
0,1.0,1.0,100.0,1.2,0.0,0.0
1,1.0,1.0,200.0,0.6,0.0,0.0
2,1.0,1.0,300.0,0.1,0.0,0.0
3,1.0,1.0,400.0,-0.1,0.0,0.0
4,1.0,1.0,500.0,0.8,0.0,0.0
5,1.0,1.0,600.0,1.7,0.0,0.0
6,1.0,1.0,700.0,1.2,0.0,0.0
7,1.0,1.0,800.0,0.8,7.0,0.0
8,1.0,1.0,900.0,1.2,47.0,95.0
9,1.0,1.0,1000.0,1.8,103.0,901.0
10,1.0,1.0,1100.0,2.3,130.0,1196.0
11,1.0,1.0,1200.0,3.3,193.0,2205.0
12,1.0,1.0,1300.0,4.0,201.0,2597.0
13,1.0,1.0,1400.0,4.7,165.0,1673.0
14,1.0,1.0,1500.0,5.3,214.0,2417.0
15,1.0,1.0,1600.0,5.0,20.0,0.0
16,1.0,1.0,1700.0,4.4,3.0,0.0
17,1.0,1.0,1800.0,2.6,0.0,0.0
18,1.0,1.0,1900.0,3.0,0.0,0.0
19,1.0,1.0,2000.0,1.9,0.0,0.0
20,1.0,1.0,2100.0,2.0,0.0,0.0
21,1.0,1.0,2200.0,1.6,0.0,0.0
22,1.0,1.0,2300.0,1.2,0.0,0.0
23,1.0,1.0,2400.0,0.4,0.0,0.0
24,1.0,2.0,100.0,0.0,0.0,0.0
25,1.0,2.0,200.0,-0.1,0.0,0.0
26,1.0,2.0,300.0,-0.4,0.0,0.0
27,1.0,2.0,400.0,-0.2,0.0,0.0
28,1.0,2.0,500.0,-0.1,0.0,0.0
29,1.0,2.0,600.0,-0.3,0.0,0.0
30,1.0,2.0,700.0,-0.5,0.0,0.0
31,1.0,2.0,800.0,-0.4,11.0,0.0
32,1.0,2.0,900.0,-0.2,65.0,351.0
33,1.0,2.0,1000.0,0.9,99.0,752.0
34,1.0,2.0,1100.0,1.6,163.0,1719.0
35,1.0,2.0,1200.0,2.6,187.0,2079.0
36,1.0,2.0,1300.0,3.9,319.0,4249.0
37,1.0,2.0,1400.0,5.0,217.0,3338.0
38,1.0,2.0,1500.0,6.0,141.0,1380.0
39,1.0,2.0,1600.0,5.4,62.0,212.0
40,1.0,2.0,1700.0,4.8,1.0,0.0
41,1.0,2.0,1800.0,4.2,0.0,0.0
42,1.0,2.0,1900.0,4.1,0.0,0.0
43,1.0,2.0,2000.0,3.2,0.0,0.0
44,1.0,2.0,2100.0,2.6,0.0,0.0
45,1.0,2.0,2200.0,1.7,0.0,0.0
46,1.0,2.0,2300.0,2.0,0.0,0.0
47,1.0,2.0,2400.0,2.0,0.0,0.0
48,1.0,3.0,100.0,1.6,0.0,0.0
49,1.0,3.0,200.0,2.5,0.0,0.0
50,1.0,3.0,300.0,3.1,0.0,0.0
51,1.0,3.0,400.0,3.1,0.0,0.0
52,1.0,3.0,500.0,2.7,0.0,0.0
53,1.0,3.0,600.0,2.9,0.0,0.0
54,1.0,3.0,700.0,2.1,0.0,0.0
55,1.0,3.0,800.0,1.7,12.0,0.0
56,1.0,3.0,900.0,1.5,40.0,0.0
57,1.0,3.0,1000.0,3.2,172.0,2187.0
58,1.0,3.0,1100.0,4.9,171.0,1813.0
59,1.0,3.0,1200.0,6.3,208.0,2064.0
60,1.0,3.0,1300.0,7.5,152.0,1432.0
61,1.0,3.0,1400.0,8.1,129.0,1034.0
62,1.0,3.0,1500.0,8.9,96.0,680.0
63,1.0,3.0,1600.0,8.3,32.0,0.0
64,1.0,3.0,1700.0,7.3,1.0,0.0
65,1.0,3.0,1800.0,6.7,0.0,0.0
66,1.0,3.0,1900.0,6.2,0.0,0.0
67,1.0,3.0,2000.0,12.9,0.0,0.0
68,1.0,3.0,2100.0,15.0,0.0,0.0
69,1.0,3.0,2200.0,13.8,0.0,0.0
70,1.0,3.0,2300.0,12.0,0.0,0.0
71,1.0,3.0,2400.0,9.9,0.0,0.0
72,1.0,4.0,100.0,5.8,0.0,0.0
73,1.0,4.0,200.0,5.3,0.0,0.0
74,1.0,4.0,300.0,5.4,0.0,0.0
75,1.0,4.0,400.0,13.1,0.0,0.0
76,1.0,4.0,500.0,12.8,0.0,0.0
77,1.0,4.0,600.0,13.0,0.0,0.0
78,1.0,4.0,700.0,12.0,0.0,0.0
79,1.0,4.0,800.0,11.4,15.0,0.0
80,1.0,4.0,900.0,13.1,81.0,730.0
81,1.0,4.0,1000.0,13.7,224.0,3219.0
82,1.0,4.0,1100.0,14.9,281.0,4117.0
83,1.0,4.0,1200.0,15.1,248.0,3145.0
84,1.0,4.0,1300.0,15.4,151.0,1554.0
85,1.0,4.0,1400.0,15.4,110.0,640.0
86,1.0,4.0,1500.0,15.2,96.0,658.0
87,1.0,4.0,1600.0,15.3,27.0,0.0
88,1.0,4.0,1700.0,14.8,1.0,0.0
89,1.0,4.0,1800.0,14.6,0.0,0.0
90,1.0,4.0,1900.0,14.3,0.0,0.0
91,1.0,4.0,2000.0,14.0,0.0,0.0
92,1.0,4.0,2100.0,14.0,0.0,0.0
93,1.0,4.0,2200.0,14.3,0.0,0.0
94,1.0,4.0,2300.0,14.0,0.0,0.0
95,1.0,4.0,2400.0,13.9,0.0,0.0
96,1.0,5.0,100.0,14.4,0.0,0.0
97,1.0,5.0,200.0,14.0,0.0,0.0
98,1.0,5.0,300.0,14.0,0.0,0.0
99,1.0,5.0,400.0,13.0,0.0,0.0
100,1.0,5.0,500.0,12.4,0.0,0.0
101,1.0,5.0,600.0,13.0,0.0,0.0
102,1.0,5.0,700.0,13.0,0.0,0.0
103,1.0,5.0,800.0,11.2,4.0,0.0
104,1.0,5.0,900.0,10.8,82.0,157.0
105,1.0,5.0,1000.0,10.6,99.0,649.0
106,1.0,5.0,1100.0,10.9,126.0,1155.0
107,1.0,5.0,1200.0,11.4,172.0,1895.0
108,1.0,5.0,1300.0,11.0,84.0,495.0
109,1.0,5.0,1400.0,11.4,125.0,1126.0
110,1.0,5.0,1500.0,11.8,133.0,1194.0
111,1.0,5.0,1600.0,11.4,31.0,0.0
112,1.0,5.0,1700.0,11.3,2.0,0.0
113,1.0,5.0,1800.0,10.8,0.0,0.0
114,1.0,5.0,1900.0,9.1,0.0,0.0
115,1.0,5.0,2000.0,9.5,0.0,0.0
116,1.0,5.0,2100.0,8.6,0.0,0.0
117,1.0,5.0,2200.0,7.5,0.0,0.0
118,1.0,5.0,2300.0,8.1,0.0,0.0
119,1.0,5.0,2400.0,8.1,0.0,0.0
120,1.0,6.0,100.0,7.2,0.0,0.0
121,1.0,6.0,200.0,6.5,0.0,0.0
122,1.0,6.0,300.0,6.0,0.0,0.0
123,1.0,6.0,400.0,5.7,0.0,0.0
124,1.0,6.0,500.0,5.3,0.0,0.0
125,1.0,6.0,600.0,5.3,0.0,0.0
126,1.0,6.0,700.0,5.1,0.0,0.0
127,1.0,6.0,800.0,4.3,9.0,0.0
128,1.0,6.0,900.0,4.4,70.0,402.0
129,1.0,6.0,1000.0,5.3,150.0,1648.0
130,1.0,6.0,1100.0,5.3,89.0,913.0
131,1.0,6.0,1200.0,7.9,399.0,6825.0
132,1.0,6.0,1300.0,9.1,428.0,7150.0
133,1.0,6.0,1400.0,8.8,198.0,3645.0
134,1.0,6.0,1500.0,8.8,76.0,523.0
135,1.0,6.0,1600.0,7.1,23.0,0.0
136,1.0,6.0,1700.0,5.2,3.0,0.0
137,1.0,6.0,1800.0,3.5,0.0,0.0
138,1.0,6.0,1900.0,3.9,0.0,0.0
139,1.0,6.0,2000.0,2.1,0.0,0.0
140,1.0,6.0,2100.0,1.6,0.0,0.0
141,1.0,6.0,2200.0,2.1,0.0,0.0
142,1.0,6.0,2300.0,0.8,0.0,0.0
143,1.0,6.0,2400.0,1.0,0.0,0.0
144,1.0,7.0,100.0,0.9,0.0,0.0
145,1.0,7.0,200.0,0.0,0.0,0.0
146,1.0,7.0,300.0,0.0,0.0,0.0
147,1.0,7.0,400.0,-0.9,0.0,0.0
148,1.0,7.0,500.0,-0.4,0.0,0.0
149,1.0,7.0,600.0,0.1,0.0,0.0
150,1.0,7.0,700.0,0.0,0.0,0.0
151,1.0,7.0,800.0,-0.7,9.0,0.0
152,1.0,7.0,900.0,0.2,91.0,719.0
153,1.0,7.0,1000.0,0.7,158.0,1572.0
154,1.0,7.0,1100.0,0.9,169.0,1679.0
