,0,1,2,3,4,5
0,1.0,1.0,100.0,-0.8,0.0,0.0
1,1.0,1.0,200.0,-0.5,0.0,0.0
2,1.0,1.0,300.0,-0.8,0.0,0.0
3,1.0,1.0,400.0,-1.4,0.0,0.0
4,1.0,1.0,500.0,-1.4,0.0,0.0
5,1.0,1.0,600.0,-1.7,0.0,0.0
6,1.0,1.0,700.0,-0.9,0.0,0.0
7,1.0,1.0,800.0,-1.1,8.0,0.0
8,1.0,1.0,900.0,0.5,41.0,0.0
9,1.0,1.0,1000.0,2.2,127.0,1295.0
10,1.0,1.0,1100.0,1.7,37.0,9.0
11,1.0,1.0,1200.0,-0.1,156.0,264.0
12,1.0,1.0,1300.0,1.3,147.0,1554.0
13,1.0,1.0,1400.0,1.5,213.0,2740.0
14,1.0,1.0,1500.0,0.8,10.0,0.0
15,1.0,1.0,1600.0,0.9,37.0,28.0
16,1.0,1.0,1700.0,0.5,1.0,0.0
17,1.0,1.0,1800.0,0.2,0.0,0.0
18,1.0,1.0,1900.0,0.0,0.0,0.0
19,1.0,1.0,2000.0,-1.1,0.0,0.0
20,1.0,1.0,2100.0,-0.6,0.0,0.0
21,1.0,1.0,2200.0,-0.8,0.0,0.0
22,1.0,1.0,2300.0,-1.3,0.0,0.0
23,1.0,1.0,2400.0,-1.9,0.0,0.0
24,1.0,2.0,100.0,-1.4,0.0,0.0
25,1.0,2.0,200.0,-1.6,0.0,0.0
26,1.0,2.0,300.0,-1.4,0.0,0.0
27,1.0,2.0,400.0,-2.5,0.0,0.0
28,1.0,2.0,500.0,-2.2,0.0,0.0
29,1.0,2.0,600.0,-0.4,0.0,0.0
30,1.0,2.0,700.0,-1.3,0.0,0.0
31,1.0,2.0,800.0,-0.3,30.0,0.0
32,1.0,2.0,900.0,0.9,225.0,1799.0
33,1.0,2.0,1000.0,1.5,242.0,5391.0
34,1.0,2.0,1100.0,2.4,341.0,6029.0
35,1.0,2.0,1200.0,3.0,124.0,1214.0
36,1.0,2.0,1300.0,2.9,257.0,4011.0
37,1.0,2.0,1400.0,3.5,168.0,1867.0
38,1.0,2.0,1500.0,2.8,45.0,72.0
39,1.0,2.0,1600.0,1.7,18.0,0.0
40,1.0,2.0,1700.0,0.3,2.0,0.0
41,1.0,2.0,1800.0,-0.2,0.0,0.0
42,1.0,2.0,1900.0,-0.3,0.0,0.0
43,1.0,2.0,2000.0,-0.4,0.0,0.0
44,1.0,2.0,2100.0,-0.6,0.0,0.0
45,1.0,2.0,2200.0,-1.2,0.0,0.0
46,1.0,2.0,2300.0,-0.8,0.0,0.0
47,1.0,2.0,2400.0,-0.9,0.0,0.0
48,1.0,3.0,100.0,-1.0,0.0,0.0
49,1.0,3.0,200.0,-1.3,0.0,0.0
50,1.0,3.0,300.0,-1.0,0.0,0.0
51,1.0,3.0,400.0,-0.6,0.0,0.0
52,1.0,3.0,500.0,-0.5,0.0,0.0
53,1.0,3.0,600.0,-0.7,0.0,0.0
54,1.0,3.0,700.0,-1.2,0.0,0.0
55,1.0,3.0,800.0,-0.8,3.0,0.0
56,1.0,3.0,900.0,-0.8,28.0,0.0
57,1.0,3.0,1000.0,-0.8,29.0,0.0
58,1.0,3.0,1100.0,-0.6,35.0,0.0
59,1.0,3.0,1200.0,-0.1,96.0,0.0
60,1.0,3.0,1300.0,0.0,156.0,0.0
61,1.0,3.0,1400.0,-0.3,68.0,0.0
62,1.0,3.0,1500.0,-0.5,27.0,0.0
63,1.0,3.0,1600.0,-0.7,9.0,0.0
64,1.0,3.0,1700.0,-0.8,0.0,0.0
65,1.0,3.0,1800.0,0.1,0.0,0.0
66,1.0,3.0,1900.0,-0.6,0.0,0.0
67,1.0,3.0,2000.0,-0.2,0.0,0.0
68,1.0,3.0,2100.0,0.2,0.0,0.0
69,1.0,3.0,2200.0,1.2,0.0,0.0
70,1.0,3.0,2300.0,1.3,0.0,0.0
71,1.0,3.0,2400.0,2.0,0.0,0.0
72,1.0,4.0,100.0,-0.3,0.0,0.0
73,1.0,4.0,200.0,-0.3,0.0,0.0
74,1.0,4.0,300.0,-0.1,0.0,0.0
75,1.0,4.0,400.0,-0.4,0.0,0.0
76,1.0,4.0,500.0,-0.5,0.0,0.0
77,1.0,4.0,600.0,0.1,0.0,0.0
78,1.0,4.0,700.0,0.1,0.0,0.0
79,1.0,4.0,800.0,0.9,4.0,0.0
80,1.0,4.0,900.0,0.5,91.0,0.0
81,1.0,4.0,1000.0,1.6,288.0,0.0
82,1.0,4.0,1100.0,2.5,398.0,0.0
83,1.0,4.0,1200.0,2.4,445.0,0.0
84,1.0,4.0,1300.0,2.7,445.0,0.0
85,1.0,4.0,1400.0,2.3,136.0,0.0
86,1.0,4.0,1500.0,1.7,70.0,0.0
87,1.0,4.0,1600.0,0.9,45.0,0.0
88,1.0,4.0,1700.0,0.7,2.0,0.0
89,1.0,4.0,1800.0,0.2,0.0,0.0
90,1.0,4.0,1900.0,-1.3,0.0,0.0
91,1.0,4.0,2000.0,-1.7,0.0,0.0
92,1.0,4.0,2100.0,-2.4,0.0,0.0
93,1.0,4.0,2200.0,-2.5,0.0,0.0
94,1.0,4.0,2300.0,-4.0,0.0,0.0
95,1.0,4.0,2400.0,-4.7,0.0,0.0
96,1.0,5.0,100.0,-6.4,0.0,0.0
97,1.0,5.0,200.0,-6.9,0.0,0.0
98,1.0,5.0,300.0,-7.3,0.0,0.0
