94040	2018	1001	0	2011	0	3001	0	1161	0	5161	0	5162	0	9213	0	9301	0	9391	0	9381	0
1	1	1153	11	618	11	975	11	1366	11	341	11	12390	11	0.0	11	2.2	11	5.9	11	-0.1	11
2	1	1394	11	1052	11	992	11	1766	11	2845	11	17266	11	0.1	11	2.0	11	6.3	11	-0.7	11
3	1	1006	11	141	11	950	11	1065	11	-1026	11	9591	11	0.4	11	6.1	11	15.3	11	1.3	11
4	1	1226	11	626	11	1017	11	1420	11	707	11	13189	11	2.6	11	12.8	11	15.6	11	4.9	11
5	1	833	11	72	11	806	11	835	11	-2463	11	6050	11	0.7	11	11.2	11	14.4	11	6.8	11
6	1	1712	11	2960	11	558	11	2503	11	6357	11	25040	11	0.1	11	5.3	11	9.6	11	0.2	11
7	1	1105	11	127	11	1059	11	1134	11	-757	11	10096	11	0.0	11	1.1	11	5.1	11	-1.0	11
8	1	891	11	474	11	710	11	1056	11	-1343	11	8910	11	2.3	11	8.9	11	12.9	11	-0.3	11
9	1	666	11	14	11	652	11	630	11	-3437	11	4587	11	0.4	11	7.6	11	12.9	11	3.8	11
10	1	1282	11	151	11	1210	11	1296	11	365	11	12411	11	0.1	11	4.3	11	6.1	11	2.1	11
11	1	1714	11	2338	11	933	11	2244	11	5033	11	21645	11	0.4	11	8.7	11	16.1	11	4.1	11
12	1	2116	11	3067	11	996	11	2991	11	9024	11	30767	11	0.2	11	5.5	11	11.3	11	1.3	11
13	1	2379	11	5489	11	566	11	3641	11	11578	11	35581	11	0.5	11	6.5	11	16.9	11	-0.5	11
14	1	1441	11	1339	11	1080	11	1765	11	2100	11	15379	11	2.2	11	16.3	11	19.2	11	6.2	11
15	1	1353	11	829	11	1027	11	1610	11	1423	11	14841	11	2.8	11	15.1	11	18.2	11	9.3	11
16	1	1520	11	941	11	1248	11	1742	11	2195	11	16251	11	0.4	11	7.9	11	10.5	11	5.0	11
17	1	2022	11	2564	11	1042	11	2696	11	6916	11	25184	11	2.9	11	12.8	11	18.2	11	4.7	11
18	1	726	11	46	11	698	11	689	11	-3089	11	5215	11	0.4	11	6.9	11	12.1	11	2.0	11
19	1	1487	11	1570	11	938	11	1810	11	2873	11	16965	11	0.1	11	3.1	11	6.9	11	0.8	11
20	1	2034	11	4124	11	551	11	3002	11	9057	11	29842	11	0.1	11	3.2	11	9.1	11	-0.7	11
21	1	1161	11	144	11	1107	11	1188	11	-462	11	10610	11	2.7	11	5.9	11	8.2	11	0.0	11
22	1	2607	11	4699	11	735	11	3720	11	12950	11	38106	11	0.2	11	4.2	11	8.2	11	0.0	11
23	1	2192	11	2791	11	1072	11	2878	11	8242	11	29168	11	1.4	11	6.2	11	12.7	11	0.6	11
24	1	642	11	0	11	636	11	595	11	-3916	11	3178	11	1.2	11	6.4	11	9.6	11	-0.5	11
25	1	1597	11	1149	11	1134	11	1958	11	3530	11	19419	11	0.5	11	3.6	11	7.8	11	-1.1	11
26	1	2030	11	2538	11	1180	11	2619	11	6934	11	25895	11	0.7	11	4.0	11	8.7	11	-0.4	11
27	1	1625	11	594	11	1375	11	1807	11	2842	11	18222	11	0.6	11	6.8	11	10.8	11	3.5	11
28	1	2495	11	3427	11	985	11	3370	11	11386	11	35790	11	0.2	11	6.5	11	12.1	11	2.9	11
29	1	1826	11	997	11	1398	11	2124	11	4507	11	21137	11	0.3	11	7.4	11	12.1	11	4.1	11
30	1	543	11	1	11	537	11	503	11	-4336	11	2588	11	0.1	11	7.3	11	8.9	11	4.6	11
31	1	2117	11	1918	11	1447	11	2603	11	6779	11	26566	11	0.2	11	5.5	11	9.3	11	0.7	11
32	2	2244	0	2516	0	1381	0	2911	0	8231	0	28438	0	0.1	0	8.0	0	14.2	0	3.1	0
33	2	3078	0	6789	0	402	0	4516	0	16002	0	44808	0	0.3	0	11.0	0	18.7	0	5.9	0
34	2	2988	0	5503	0	671	0	4222	0	14843	0	42620	0	0.2	0	9.4	0	17.1	0	3.8	0
