index,month,day,time,temperature,irradiance,
199,1,9,800,0.3,7,
200,1,9,900,1.2,52,
201,1,9,1000,2.1,55,
202,1,9,1100,4.5,165,
203,1,9,1200,5.7,222,
204,1,9,1300,5.9,258,
205,1,9,1400,6.4,159,
206,1,9,1500,5.4,110,
207,1,9,1600,5,18,
208,1,9,1700,4.2,0,
209,1,9,1800,0.6,0,
210,1,9,1900,0.2,0,
211,1,9,2000,0.4,0,
212,1,9,2100,1,0,
213,1,9,2200,2.4,0,
214,1,9,2300,1.7,0,
215,1,9,2400,0.8,0,
216,1,10,100,1,0,
217,1,10,200,0.8,0,
218,1,10,300,0.2,0,
219,1,10,400,0.3,0,
220,1,10,500,0.4,0,
221,1,10,600,0.3,0,
222,1,10,700,0.3,0,
223,1,10,800,0.3,2,
224,1,10,900,3.2,30,
225,1,10,1000,5.6,50,
226,1,10,1100,5.9,45,
227,1,10,1200,6,49,
228,1,10,1300,6,79,
229,1,10,1400,6.7,163,
230,1,10,1500,7,124,
231,1,10,1600,6.6,32,
232,1,10,1700,5.9,4,
233,1,10,1800,2.3,0,
234,1,10,1900,4.1,0,
235,1,10,2000,4.8,0,
236,1,10,2100,4.7,0,
237,1,10,2200,4.9,0,
238,1,10,2300,6.2,0,
239,1,10,2400,6.4,0,
240,1,11,100,4.8,0,
241,1,11,200,5.6,0,
242,1,11,300,4.8,0,
243,1,11,400,3.2,0,
244,1,11,500,1,0,
245,1,11,600,0.7,0,
246,1,11,700,-0.1,0,
247,1,11,800,0.3,4,
248,1,11,900,2.1,69,
249,1,11,1000,4.1,182,
250,1,11,1100,4.5,164,
251,1,11,1200,5.5,158,
252,1,11,1300,5.5,156,
253,1,11,1400,5.4,194,
254,1,11,1500,5.5,161,
255,1,11,1600,5,53,
256,1,11,1700,4.6,4,
257,1,11,1800,3.3,0,
258,1,11,1900,3.3,0,
259,1,11,2000,2.1,0,
260,1,11,2100,2.4,0,
261,1,11,2200,2.7,0,
262,1,11,2300,2.4,0,
263,1,11,2400,-0.4,0,
264,1,12,100,-0.8,0,
265,1,12,200,-1.5,0,
266,1,12,300,-0.6,0,
267,1,12,400,-0.6,0,
268,1,12,500,-0.2,0,
269,1,12,600,0,0,
270,1,12,700,0.2,0,
271,1,12,800,0.3,6,
272,1,12,900,0.8,58,
273,1,12,1000,2.5,302,
274,1,12,1100,4.4,398,
275,1,12,1200,4.4,445,
276,1,12,1300,4.5,439,
277,1,12,1400,4.5,380,
278,1,12,1500,4.6,275,
279,1,12,1600,4.2,32,
280,1,12,1700,1.7,6,
281,1,12,1800,0.4,0,
282,1,12,1900,-1,0,
283,1,12,2000,-1.1,0,
284,1,12,2100,-1.2,0,
285,1,12,2200,-2.2,0,
286,1,12,2300,-2.4,0,
287,1,12,2400,-2.9,0,
288,1,13,100,-3.3,0,
289,1,13,200,-2.5,0,
290,1,13,300,-2.9,0,
291,1,13,400,-1.8,0,
292,1,13,500,-1.8,0,
293,1,13,600,-2.1,0,
294,1,13,700,-2.4,0,
295,1,13,800,-2.6,6,
296,1,13,900,-3.1,37,
297,1,13,1000,-2.3,116,
298,1,13,1100,-0.2,500,
299,1,13,1200,0.7,449,
300,1,13,1300,1.6,445,
301,1,13,1400,2.3,362,
302,1,13,1500,2.6,169,
303,1,13,1600,2.7,72,
304,1,13,1700,2.2,3,
305,1,13,1800,0.7,0,
306,1,13,1900,-0.7,0,
307,1,13,2000,-0.1,0,
308,1,13,2100,-0.2,0,
309,1,13,2200,-0.1,0,
310,1,13,2300,-1.1,0,
311,1,13,2400,-0.4,0,
312,1,14,100,-1.3,0,
313,1,14,200,-1.4,0,
314,1,14,300,-1.5,0,
315,1,14,400,-2,0,
316,1,14,500,-1.8,0,
317,1,14,600,-2,0,
318,1,14,700,-2.9,0,
319,1,14,800,-3.7,10,
320,1,14,900,-3.3,88,
321,1,14,1000,-1.8,264,
322,1,14,1100,-0.7,399,
323,1,14,1200,1.5,447,
324,1,14,1300,1.9,443,
325,1,14,1400,4.6,387,
326,1,14,1500,6.1,280,
327,1,14,1600,10,21,
328,1,14,1700,4.8,6,
329,1,14,1800,2,0,
330,1,14,1900,1.2,0,
331,1,14,2000,0.3,0,
332,1,14,2100,-0.3,0,
333,1,14,2200,-0.2,0,
334,1,14,2300,-1,0,
335,1,14,2400,-1.7,0,
336,1,15,100,-1.7,0,
337,1,15,200,-1.7,0,
338,1,15,300,-2.1,0,
339,1,15,400,-1.2,0,
340,1,15,500,-3.1,0,
341,1,15,600,-2.8,0,
342,1,15,700,-2.5,0,
343,1,15,800,-2.2,8,
344,1,15,900,-1,184,
345,1,15,1000,0.1,307,
346,1,15,1100,1.6,397,
347,1,15,1200,2.5,447,
348,1,15,1300,4.8,447,
349,1,15,1400,6.2,390,
350,1,15,1500,7.1,276,
351,1,15,1600,6.6,60,
352,1,15,1700,4,12,
353,1,15,1800,1.9,0,
354,1,15,1900,0.7,0,
355,1,15,2000,0.4,0,
356,1,15,2100,-0.5,0,
357,1,15,2200,-0.5,0,
358,1,15,2300,-1.9,0,
359,1,15,2400,-1.5,0,
360,1,16,100,-1.3,0,
361,1,16,200,-2.1,0,
362,1,16,300,-0.5,0,
363,1,16,400,-1.3,0,
364,1,16,500,-1,0,
365,1,16,600,-0.8,0,
366,1,16,700,0,0,
367,1,16,800,-1.8,15,
368,1,16,900,-2.1,67,
369,1,16,1000,-0.4,399,
370,1,16,1100,2,219,
371,1,16,1200,4.1,449,
372,1,16,1300,5.8,446,
373,1,16,1400,8.6,363,
374,1,16,1500,9.2,250,
375,1,16,1600,9.5,66,
376,1,16,1700,6.4,9,
377,1,16,1800,3.9,0,
378,1,16,1900,2.8,0,
379,1,16,2000,2.3,0,
380,1,16,2100,1.1,0,
381,1,16,2200,-0.1,0,
382,1,16,2300,0,0,
383,1,16,2400,0.3,0,
384,1,17,100,-0.6,0,
385,1,17,200,0.1,0,
386,1,17,300,-0.7,0,
387,1,17,400,-1.2,0,
388,1,17,500,-1,0,
389,1,17,600,-0.9,0,
390,1,17,700,-0.9,0,
391,1,17,800,0.2,4,
392,1,17,900,1,58,
393,1,17,1000,2.5,123,
394,1,17,1100,4.4,169,
395,1,17,1200,12.4,269,
396,1,17,1300,12.9,276,
397,1,17,1400,11.8,110,
398,1,17,1500,11.6,46,
399,1,17,1600,11.6,14,
400,1,17,1700,11.2,2,
401,1,17,1800,11.7,0,
402,1,17,1900,12.1,0,
403,1,17,2000,12.5,0,
404,1,17,2100,11.6,0,
405,1,17,2200,10.4,0,
406,1,17,2300,9.9,0,
407,1,17,2400,9,0,
408,1,18,100,9,0,
409,1,18,200,9.3,0,
410,1,18,300,9.9,0,
411,1,18,400,9.4,0,
412,1,18,500,8.2,0,
413,1,18,600,7.8,0,
414,1,18,700,6.9,0,
415,1,18,800,6.5,28,
416,1,18,900,6.9,7,
417,1,18,1000,5.5,16,
418,1,18,1100,4.8,38,
419,1,18,1200,5.1,35,
420,1,18,1300,5,58,
421,1,18,1400,5,94,
422,1,18,1500,5.5,101,
423,1,18,1600,5,25,
424,1,18,1700,6.1,2,
425,1,18,1800,5.4,0,
426,1,18,1900,5.6,0,
427,1,18,2000,6.1,0,
428,1,18,2100,5.5,0,
429,1,18,2200,5.9,0,
430,1,18,2300,5.7,0,
431,1,18,2400,5.8,0,
432,1,19,100,5,0,
433,1,19,200,4,0,
434,1,19,300,3,0,
435,1,19,400,2.7,0,
436,1,19,500,2.5,0,
437,1,19,600,3,0,
438,1,19,700,2.6,0,
439,1,19,800,2.3,24,
440,1,19,900,2.7,29,
441,1,19,1000,6.1,411,
442,1,19,1100,5.5,453,
443,1,19,1200,7.5,511,
444,1,19,1300,8,520,
445,1,19,1400,8.7,354,
446,1,19,1500,10.5,368,
447,1,19,1600,10,131,
448,1,19,1700,6.6,8,
449,1,19,1800,6.1,0,
450,1,19,1900,6.2,0,
451,1,19,2000,7.1,0,
452,1,19,2100,7,0,
453,1,19,2200,6.7,0,
454,1,19,2300,6.9,0,
455,1,19,2400,6.7,0,
456,1,20,100,6.3,0,
457,1,20,200,6.1,0,
458,1,20,300,6.4,0,
459,1,20,400,5.9,0,
460,1,20,500,5.9,0,
461,1,20,600,5.6,0,
462,1,20,700,5.8,0,
